"","STATECD","disturbance","n_plots"
"1",1,"CD",88
"2",1,"ND",13506
"3",1,"SD",3963
"4",5,"CD",47
"5",5,"ND",11072
"6",5,"SD",2030
"7",4,"CD",6
"8",4,"ND",5669
"9",4,"SD",483
"10",6,"CD",2
"11",6,"ND",9767
"12",6,"SD",463
"13",8,"CD",8
"14",8,"ND",6443
"15",8,"SD",664
"16",9,"ND",918
"17",9,"SD",34
"18",10,"ND",385
"19",10,"SD",16
"20",12,"CD",30
"21",12,"ND",7102
"22",12,"SD",1654
"23",13,"CD",83
"24",13,"ND",12613
"25",13,"SD",3664
"26",19,"CD",4
"27",19,"ND",2116
"28",19,"SD",94
"29",16,"CD",10
"30",16,"ND",5312
"31",16,"SD",740
"32",17,"CD",1
"33",17,"ND",3384
"34",17,"SD",111
"35",18,"CD",2
"36",18,"ND",4626
"37",18,"SD",125
"38",20,"CD",2
"39",20,"ND",1759
"40",20,"SD",62
"41",21,"CD",10
"42",21,"ND",7745
"43",21,"SD",506
"44",22,"CD",36
"45",22,"ND",4241
"46",22,"SD",1554
"47",25,"CD",1
"48",25,"ND",1595
"49",25,"SD",58
"50",24,"CD",1
"51",24,"ND",1202
"52",24,"SD",44
"53",23,"CD",2
"54",23,"ND",12002
"55",23,"SD",419
"56",26,"CD",15
"57",26,"ND",23787
"58",26,"SD",720
"59",27,"CD",33
"60",27,"ND",22047
"61",27,"SD",1188
"62",29,"CD",4
"63",29,"ND",11861
"64",29,"SD",222
"65",28,"CD",45
"66",28,"ND",8381
"67",28,"SD",2223
"68",30,"CD",6
"69",30,"ND",6702
"70",30,"SD",782
"71",37,"CD",51
"72",37,"ND",11101
"73",37,"SD",2513
"74",38,"ND",590
"75",38,"SD",20
"76",31,"ND",993
"77",31,"SD",46
"78",33,"ND",2803
"79",33,"SD",47
"80",34,"ND",1452
"81",34,"SD",19
"82",35,"CD",4
"83",35,"ND",4994
"84",35,"SD",311
"85",32,"CD",1
"86",32,"ND",3018
"87",32,"SD",136
"88",36,"CD",3
"89",36,"ND",9536
"90",36,"SD",160
"91",39,"ND",5041
"92",39,"SD",132
"93",40,"CD",15
"94",40,"ND",3630
"95",40,"SD",410
"96",41,"CD",4
"97",41,"ND",18050
"98",41,"SD",463
"99",42,"CD",2
"100",42,"ND",10656
"101",42,"SD",211
"102",44,"ND",369
"103",44,"SD",15
"104",45,"CD",24
"105",45,"ND",8657
"106",45,"SD",2098
"107",46,"CD",1
"108",46,"ND",1298
"109",46,"SD",114
"110",47,"CD",27
"111",47,"ND",8671
"112",47,"SD",1055
"113",48,"CD",56
"114",48,"ND",17246
"115",48,"SD",2112
"116",49,"CD",4
"117",49,"ND",5832
"118",49,"SD",380
"119",51,"CD",21
"120",51,"ND",10451
"121",51,"SD",1133
"122",50,"CD",1
"123",50,"ND",2618
"124",50,"SD",36
"125",53,"CD",53
"126",53,"ND",10801
"127",53,"SD",694
"128",55,"CD",9
"129",55,"ND",21865
"130",55,"SD",678
"131",54,"CD",5
"132",54,"ND",7747
"133",54,"SD",219
"134",56,"CD",191
"135",56,"ND",2275
"136",56,"SD",1152
