"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,1.18479368086244e-167,1,1.40600774814234e-293,0.331936359092543,0.114493733067333,-0.21744262602521,0.228634327740236,1183,"NOT REJECTED"
"2","acernegu",0.5,4.05639651468888e-05,0.00350266958840011,8.40004498282534e-23,0.173044944745645,0.123040583836486,-0.0500043609091587,0.164888379575702,192,"REJECTED"
"3","acerrubr",0.5,2.48811067356368e-06,1.33594881148905e-65,7.2645883786479e-139,0.166072387390776,0.150935462633472,-0.0151369247573038,0.143767587247422,2012,"REJECTED"
"4","acersacc",0.5,1.24751555976153e-05,3.47526697942601e-126,4.05128622295212e-61,0.174856304436608,0.190180732824811,0.0153244283882023,0.150123856956648,1842,"REJECTED"
"5","betualle",0.5,3.15948525174228e-06,1.58818474380016e-33,2.9777829864334e-05,0.0895626017694654,0.115670482736042,0.0261078809665769,0.096992680590776,311,"REJECTED"
"6","betupapy",0.5,1.91904566134874e-12,0.000206510671866609,8.59396072862883e-56,0.128491277734933,0.0928712170197706,-0.0356200607151622,0.106262534455738,466,"REJECTED"
"7","carycord",0.5,0.720279376675047,1.09920243254538e-12,7.03308171525665e-11,0.113787538018687,0.116526046271437,0.00273850825275024,0.108810011546562,203,"REJECTED"
"8","caryovat",0.5,0.785531280249608,7.59446136287892e-10,3.93987351415282e-11,0.106484291867982,0.104391416803007,-0.00209287506497415,0.102166840970704,177,"REJECTED"
"9","fraxamer",0.5,3.37059990645486e-10,5.33239558168609e-05,3.46142411126187e-49,0.135029344356674,0.0951450671370865,-0.0398842772195877,0.128275642413834,428,"REJECTED"
"10","fraxnigr",0.5,0.0404897486737918,1.67980569545698e-25,6.89624376151209e-44,0.163307277760655,0.153604920248028,-0.00970235751262754,0.121610119005764,662,"REJECTED"
"11","fraxpenn",0.5,0.191354731739466,3.3995323528572e-12,5.62612445409742e-20,0.131881292916364,0.121668693107102,-0.0102125998092621,0.132102680660922,287,"REJECTED"
"12","l_inconi",0.5,0.466486648647836,0.0122105938049834,0.000248130742157179,0.158195332107341,0.143023786426353,-0.0151715456809877,0.12710333643324,38,"REJECTED"
"13","l_inhard",0.5,0.483536014288075,0.0478508120009321,0.00218000291072618,0.240194295146254,0.212901803595582,-0.0272924915506726,0.187749774619497,24,"REJECTED"
"14","l_tohard",0.5,0.999178260502207,6.15485725761695e-07,6.20914521261594e-07,0.0928560836998201,0.0928653791538229,9.29545400279602e-06,0.0927033313910864,106,"REJECTED"
"15","larilari",0.5,0.000350715456593048,1.63055252393516e-05,5.0393592943785e-25,0.203063944725493,0.162779510971924,-0.0402844337535688,0.174638053716297,247,"REJECTED"
"16","ostrvirg",0.5,5.03106278964293e-96,1,7.56347652514004e-173,0.179442606490568,0.0540166497603242,-0.125425956730244,0.137782495119643,717,"NOT REJECTED"
"17","piceglau",0.5,1.23526851170959e-05,0.00445083068801985,1.70366501023233e-24,0.172825256369717,0.129361845311521,-0.0434634110581958,0.138151023299633,203,"REJECTED"
"18","picemari",0.5,1.20324452767011e-33,0.999998977998803,1.56890460337359e-67,0.29814773563167,0.160477961492525,-0.137669774139145,0.17785959538919,312,"NOT REJECTED"
"19","pinubank",0.5,6.64457976051978e-07,0.0210848783875161,9.9454388172648e-27,0.246212678315618,0.163184577901989,-0.0830281004136286,0.232217771397144,206,"REJECTED"
"20","pinuresi",0.5,4.7839371172047e-10,3.56355920880073e-48,6.96887348359302e-05,0.288048164160197,0.347708563540312,0.0596603993801141,0.191258777331126,418,"REJECTED"
"21","pinustro",0.5,0.0807675143500331,2.56942142291067e-36,5.35446266609721e-22,0.233646208116652,0.250488681198244,0.0168424730815922,0.225982663826923,551,"REJECTED"
"22","popugran",0.5,2.95242082194484e-08,0.00155715984080293,2.75615584076925e-36,0.233746339631937,0.160488803323265,-0.073257536308672,0.223201327996472,301,"REJECTED"
"23","poputrem",0.5,2.60967036905589e-73,0.980451047613392,2.07250514458116e-199,0.309220227414989,0.183286754969312,-0.125933472445677,0.225082407358763,1205,"NOT REJECTED"
"24","prunsero",0.5,1.50212334195284e-27,0.292591753926688,2.60569841735261e-86,0.133663247783457,0.0712045986760835,-0.062458649107374,0.130868124126637,577,"NOT REJECTED"
"25","queralba",0.5,4.05296277225965e-31,8.89378856078483e-72,0.99859150041325,0.0643839993088695,0.15425475944825,0.0898707601393804,0.137279907061778,378,"NOT REJECTED"
"26","querelli",0.5,0.038408963196884,1.90060184622835e-11,2.12319618541154e-24,0.159053842987065,0.144334831208573,-0.0147190117784926,0.126443874959885,319,"REJECTED"
"27","quermacr",0.5,0.253447792800387,7.05837452695675e-08,3.0302877083337e-13,0.156067187509527,0.141383622502214,-0.0146835650073127,0.170013748478684,176,"REJECTED"
"28","querrubr",0.5,2.22583587204828e-05,7.30890997464443e-49,5.87092801480898e-14,0.182589449821839,0.212381014057967,0.0297915642361278,0.165572640882202,565,"REJECTED"
"29","quervelu",0.5,0.00149132527365755,0.000169845184242079,9.92256103551692e-20,0.207205202064104,0.168451255276907,-0.0387539467871968,0.165261973248079,189,"REJECTED"
"30","s_inhard",0.5,0.282881207936167,2.6506208052116e-11,1.05591819179617e-06,0.0372294816571393,0.041906875132653,0.00467739347551374,0.0522528353269361,145,"REJECTED"
"31","s_tohard",0.5,8.05923429864588e-08,0.933090912679823,1.58145626115311e-16,0.101993527333228,0.0325647254691524,-0.0694288018640753,0.103384090791882,78,"NOT REJECTED"
"32","thujocci",0.5,3.02405740829591e-42,2.94828306008792e-79,0.999999999828572,0.183300818641898,0.355160458024496,0.171859639382598,0.202236237467542,342,"NOT REJECTED"
"33","tiliamer",0.5,0.147738219353747,4.93405647083488e-41,5.1031905488393e-28,0.149388678618132,0.158182687430591,0.00879400881245893,0.156241728731848,663,"REJECTED"
"34","tsugcana",0.5,2.16075331929515e-14,1.39103720790755e-42,0.42721046743389,0.153890683105872,0.245670829158538,0.0917801460526667,0.187733728199516,273,"NOT REJECTED"
"35","ulmuamer",0.5,0.00107678691961249,5.89844797183284e-20,9.71980504322901e-49,0.139655988565827,0.115782832882741,-0.0238731556830851,0.184013599748252,641,"REJECTED"
