"","species_tost_d$result","Species"
"1","not rejected","ulmuamer"
"2","not rejected","tsugcana"
"3","rejected","tiliamer"
"4","not rejected","thujocci"
"5","not rejected","s_tohard"
"6","not rejected","s_inhard"
"7","not rejected","quervelu"
"8","rejected","querrubr"
"9","not rejected","quermacr"
"10","not rejected","querelli"
"11","rejected","queralba"
"12","rejected","prunsero"
"13","not rejected","poputrem"
"14","not rejected","popugran"
"15","not rejected","pinustro"
"16","rejected","pinuresi"
"17","not rejected","pinubank"
"18","not rejected","picemari"
"19","not rejected","piceglau"
"20","not rejected","ostrvirg"
"21","not rejected","larilari"
"22","not rejected","l_tohard"
"23","not rejected","l_inhard"
"24","not rejected","l_inconi"
"25","not rejected","fraxpenn"
"26","not rejected","fraxnigr"
"27","not rejected","fraxamer"
"28","not rejected","caryovat"
"29","not rejected","carycord"
"30","not rejected","betupapy"
"31","not rejected","betualle"
"32","rejected","acersacc"
"33","not rejected","acerrubr"
"34","not rejected","acernegu"
"35","not rejected","abiebals"
